"city08","co2TailpipeGpm","cylinders","displ","drive","fuelType1","highway08","trany","VClass","year","tCharger","sCharger","startStop"
18,423.1904761905,6,3.3,"Front-Wheel Drive","Regular Gasoline",26,"Automatic","Midsize-Large Station Wagon",1993,"N","N","N"
18,444.35,4,1.8,"4-Wheel Drive","Regular Gasoline",23,"Automatic","Midsize-Large Station Wagon",1993,"N","N","N"
21,386.3913043478,4,1.8,"Front-Wheel Drive","Regular Gasoline",26,"Automatic","Midsize-Large Station Wagon",1993,"N","N","N"
19,423.1904761905,4,1.8,"4-Wheel Drive","Regular Gasoline",24,"Manual","Midsize-Large Station Wagon",1993,"N","N","N"
21,386.3913043478,4,1.8,"Front-Wheel Drive","Regular Gasoline",26,"Manual","Midsize-Large Station Wagon",1993,"N","N","N"
17,467.7368421053,4,2.4,"4-Wheel Drive","Regular Gasoline",22,"Automatic","Midsize-Large Station Wagon",1993,"N","N","N"
12,634.7857142857,8,5,"Rear-Wheel Drive","Regular Gasoline",16,"Automatic","Van",1985,"N","N","N"
18,444.35,4,2.4,"Front-Wheel Drive","Regular Gasoline",24,"Automatic","Midsize-Large Station Wagon",1993,"N","N","N"
17,467.7368421053,4,2.4,"4-Wheel Drive","Regular Gasoline",22,"Manual","Midsize-Large Station Wagon",1993,"N","N","N"
19,423.1904761905,4,2.4,"Front-Wheel Drive","Regular Gasoline",26,"Manual","Midsize-Large Station Wagon",1993,"N","N","N"
18,423.1904761905,6,3,"Front-Wheel Drive","Regular Gasoline",27,"Automatic","Midsize-Large Station Wagon",1993,"N","N","N"
17,444.35,6,3.8,"Front-Wheel Drive","Regular Gasoline",25,"Automatic","Midsize-Large Station Wagon",1993,"N","N","N"
18,423.1904761905,6,3,"Front-Wheel Drive","Regular Gasoline",27,"Automatic","Midsize-Large Station Wagon",1993,"N","N","N"
17,444.35,6,3.8,"Front-Wheel Drive","Regular Gasoline",25,"Automatic","Midsize-Large Station Wagon",1993,"N","N","N"
17,467.7368421053,4,2.4,"4-Wheel Drive","Regular Gasoline",22,"Automatic","Midsize-Large Station Wagon",1993,"N","N","N"
18,444.35,4,2.4,"Front-Wheel Drive","Regular Gasoline",24,"Automatic","Midsize-Large Station Wagon",1993,"N","N","N"
17,467.7368421053,4,2.4,"4-Wheel Drive","Regular Gasoline",22,"Manual","Midsize-Large Station Wagon",1993,"N","N","N"
11,683.6153846154,8,5.7,"Rear-Wheel Drive","Regular Gasoline",16,"Automatic","Van",1985,"N","N","N"
19,423.1904761905,4,2.4,"Front-Wheel Drive","Regular Gasoline",26,"Manual","Midsize-Large Station Wagon",1993,"N","N","N"
21,386.3913043478,4,1.8,"Front-Wheel Drive","Regular Gasoline",26,"Automatic","Midsize-Large Station Wagon",1993,"N","N","N"
18,444.35,4,1.8,"4-Wheel Drive","Regular Gasoline",23,"Automatic","Midsize-Large Station Wagon",1993,"N","N","N"
21,386.3913043478,4,1.8,"Front-Wheel Drive","Regular Gasoline",26,"Manual","Midsize-Large Station Wagon",1993,"N","N","N"
19,423.1904761905,4,1.8,"4-Wheel Drive","Regular Gasoline",24,"Manual","Midsize-Large Station Wagon",1993,"N","N","N"
18,444.35,4,2.4,"Front-Wheel Drive","Regular Gasoline",24,"Automatic","Midsize-Large Station Wagon",1993,"N","N","N"
17,467.7368421053,4,2.4,"4-Wheel Drive","Regular Gasoline",22,"Automatic","Midsize-Large Station Wagon",1993,"N","N","N"
19,423.1904761905,4,2.4,"Front-Wheel Drive","Regular Gasoline",26,"Manual","Midsize-Large Station Wagon",1993,"N","N","N"
17,467.7368421053,4,2.4,"4-Wheel Drive","Regular Gasoline",22,"Manual","Midsize-Large Station Wagon",1993,"N","N","N"
18,423.1904761905,4,2.2,"Front-Wheel Drive","Regular Gasoline",26,"Automatic","Midsize-Large Station Wagon",1993,"N","N","N"
15,565.5555555556,8,6.2,"Rear-Wheel Drive","Diesel",22,"Automatic","Van",1985,"N","N","N"
17,467.7368421053,6,3.3,"Front-Wheel Drive","Regular Gasoline",24,"Automatic","Midsize-Large Station Wagon",1993,"N","N","N"
18,423.1904761905,6,3.3,"Front-Wheel Drive","Regular Gasoline",26,"Automatic","Midsize-Large Station Wagon",1993,"N","N","N"
17,467.7368421053,6,3,"Front-Wheel Drive","Premium Gasoline",23,"Automatic","Midsize-Large Station Wagon",1993,"N","N","N"
21,386.3913043478,4,1.8,"Front-Wheel Drive","Regular Gasoline",26,"Automatic","Midsize-Large Station Wagon",1993,"N","N","N"
18,444.35,4,1.8,"4-Wheel Drive","Regular Gasoline",23,"Automatic","Midsize-Large Station Wagon",1993,"N","N","N"
21,386.3913043478,4,1.8,"Front-Wheel Drive","Regular Gasoline",26,"Manual","Midsize-Large Station Wagon",1993,"N","N","N"
19,423.1904761905,4,1.8,"4-Wheel Drive","Regular Gasoline",24,"Manual","Midsize-Large Station Wagon",1993,"N","N","N"
